"Subject","Activity","AvgLinearAccel-X","AvgLinearAccel-Y","AvgLinearAccel-Z","AvgAngularVeloc-X","AvgAngularVeloc-Y","AvgAngularVeloc-Z"
"Subject 1","LAYING",0.22159824394,-0.0523983711090909,-0.0922897063704444,-0.802263062489796,-0.89699284926,-0.891096321276596
"Subject 1","SITTING",0.261237565425532,-0.01614139586575,-0.0823936957659575,-0.915552612954545,-0.899090387021277,-0.963154742340426
"Subject 1","STANDING",0.278917629056604,-0.0179727781862745,-0.107199208962264,-0.961057608735849,-0.97963561,-0.976353386603774
"Subject 1","WALKING",0.277330758736842,-0.0239198433606579,-0.0918747569125263,-0.242047730157895,-0.235184802052,0.103464762
"Subject 1","WALKING_DOWNSTAIRS",0.289188320408163,-0.0222363954285714,-0.0706313127632653,-0.0851345751607143,0.0120204953636364,-0.07202194309525
"Subject 1","WALKING_UPSTAIRS",0.255461689622641,-0.0292829607533333,-0.0851857408511321,-0.312943463830189,-0.158707037056667,0.0220485541027027
"Subject 2","LAYING",0.281373403958333,-0.0181587397583333,-0.107245610416667,-0.974059464791667,-0.98027739875,-0.984233296875
"Subject 2","SITTING",0.27708735173913,-0.0194380147325581,-0.100973765891304,-0.92968165326087,-0.958576656521739,-0.958614026521739
"Subject 2","STANDING",0.277911472222222,-0.0203266061941176,-0.102475240074074,-0.93672376437037,-0.963201296296296,-0.950671140555556
"Subject 2","WALKING",0.276426586440678,-0.0229902247619608,-0.0898730930016949,-0.378833960762712,-0.165210482979167,-0.292347959362712
"Subject 2","WALKING_DOWNSTAIRS",0.27761534806383,-0.0288067361512821,-0.0952521937531915,-0.1082891106,0.0934807353125,0.106053852347059
"Subject 2","WALKING_UPSTAIRS",0.247164790395833,-0.0345543272838889,-0.108518721783333,-0.271192684854167,-0.270530237,0.109943311575
"Subject 3","LAYING",0.275516852741935,-0.0189556785048387,-0.102984266590164,-0.967713991667742,-0.963637556774194,-0.963976192580645
"Subject 3","SITTING",0.257197599134615,-0.0255047672275,-0.068303056972549,-0.801497395653061,-0.869015443903846,-0.899333032941177
"Subject 3","STANDING",0.280046513278689,-0.0203077330592593,-0.0915996780783333,-0.853376797157738,-0.914236245409836,-0.911657791803279
"Subject 3","WALKING",0.275567462068966,-0.0251995499844444,-0.087689322897931,-0.304019171706897,-0.168697467396,-0.281151804079245
"Subject 3","WALKING_DOWNSTAIRS",0.292423484693878,-0.0265406178233333,-0.0924502615938776,-0.123000176666667,-0.0837287943775,-0.254086529
"Subject 3","WALKING_UPSTAIRS",0.260819873067797,-0.0500450681,-0.077674917679322,-0.259010158166102,-0.201377019147059,-0.110732882804348
"Subject 4","LAYING",0.263559214981481,-0.0173409423352941,-0.10261713852963,-0.925605489796296,-0.941468583518518,-0.951835847037037
"Subject 4","SITTING",0.27153827992,-0.0199592882634146,-0.082118494382,-0.841494801306122,-0.9137014366,-0.938455666122449
"Subject 4","STANDING",0.280499745892857,-0.024958883973913,-0.0871606226434545,-0.833727530518519,-0.873832163928571,-0.894604005714286
"Subject 4","WALKING",0.278582015166667,-0.0229547012141304,-0.08149350047,-0.36037815015,-0.21326656245102,-0.360380458241379
"Subject 4","WALKING_DOWNSTAIRS",0.279965329555556,-0.0265525315666667,-0.0612457959666667,-0.12591666237,-0.0685052572323529,-0.209405261736585
"Subject 4","WALKING_UPSTAIRS",0.270876696730769,-0.036761444398383,-0.102797844270577,-0.191214767057692,-0.123413754627027,-0.241682187347843
"Subject 5","LAYING",0.278334325576923,-0.0183042123269231,-0.107937603673077,-0.965934509615385,-0.969295613269231,-0.968562516346154
"Subject 5","SITTING",0.273694139545455,-0.0202344167315789,-0.0898912385534884,-0.8418197075,-0.946135410454545,-0.90437132875
"Subject 5","STANDING",0.282544390892857,-0.01929971383125,-0.0835242949933929,-0.887308994740741,-0.869512750535714,-0.874062273392857
"Subject 5","WALKING",0.27784234625,-0.0234852803778444,-0.0866031638017857,-0.257619860127273,-0.182758546757143,-0.010850804826087
"Subject 5","WALKING_DOWNSTAIRS",0.29354392712766,-0.0308196862642857,-0.0567194631957447,-0.0895711601111111,0.258569376241379,0.19036178836
"Subject 5","WALKING_UPSTAIRS",0.268459469914894,-0.0464557562257143,-0.0781379220919149,-0.0895883810833333,-0.0262619915136364,0.141728234913333
"Subject 6","LAYING",0.248656520140351,-0.0167431720339623,-0.112337614129825,-0.911828657368421,-0.924426312052632,-0.914823010596491
"Subject 6","SITTING",0.276778487454545,-0.0197488969627451,-0.0959563819272727,-0.922348813490909,-0.938987582,-0.921627192727273
"Subject 6","STANDING",0.280346248596491,-0.0203170403072727,-0.109207262736842,-0.968745731785714,-0.911092602333333,-0.927816484561404
"Subject 6","WALKING",0.283658868070175,-0.0276790803292683,-0.0778312717591228,-0.235964687175439,-0.302145565011765,0.162912370380952
"Subject 6","WALKING_DOWNSTAIRS",0.277045258145833,-0.0334615864962857,-0.07820885995125,-0.0891258935384615,0.389127759428571,0.342627286456429
"Subject 6","WALKING_UPSTAIRS",0.268229355098039,-0.0442719360027027,-0.0892472102109804,-0.0742647208140909,-0.0382693375,0.177978686175
"Subject 7","LAYING",0.250176694038462,-0.0247835863040816,-0.0955243008607843,-0.888354418980769,-0.928544058653846,-0.945750379038461
"Subject 7","SITTING",0.284674637291667,-0.0200153717065116,-0.116098100275,-0.896950082361702,-0.914655271604167,-0.91495882173913
"Subject 7","STANDING",0.282723539433962,-0.0191841304065217,-0.0937991499018868,-0.893836562647059,-0.902428516150943,-0.930272622264151
"Subject 7","WALKING",0.275592961754386,-0.0227493607877551,-0.0992370087385965,-0.286123740877193,-0.261085473914286,0.0510879401333333
"Subject 7","WALKING_DOWNSTAIRS",0.28030708,-0.025114324175,-0.0787821070065217,-0.11944118516,-0.0273078648648649,-0.06014827002
"Subject 7","WALKING_UPSTAIRS",0.248706923078431,-0.0355054672404762,-0.126311666421569,-0.25540312672549,-0.327085108039216,-0.1886968247625
"Subject 8","LAYING",0.261254282907407,-0.023986818334,-0.0988646049857692,-0.864042525555556,-0.944830309814815,-0.940133552222222
"Subject 8","SITTING",0.267491472934783,-0.0165774646809524,-0.0919011319391304,-0.926641974533333,-0.940114578608696,-0.962155297333333
