"Subject" "Activity" "LinearAccelX" "LinearAccelY" "LinearAccelZ" "AngularVelocX" "AngularVelocY" "AngularVelocZ"
"Subject 1" "LAYING" "-2.3910256e-001" "-9.6904391e-002" "" "1.4803461e-001" "-6.3732529e-001" "-1.2769222e-001"
"Subject 1" "LAYING" "3.1932383e-001" "-2.4865202e-002" "-9.9798821e-002" "-9.6703313e-001" "-9.7373558e-001" "-9.7617628e-001"
"Subject 1" "LAYING" "2.7837321e-001" "-2.0560964e-002" "-9.6824565e-002" "-9.8488259e-001" "-9.9111837e-001" "-9.8211178e-001"
"Subject 1" "LAYING" "2.7676588e-001" "-1.8060289e-002" "-1.2013176e-001" "-9.9101601e-001" "-9.8529915e-001" "-9.5284326e-001"
"Subject 1" "LAYING" "2.7714164e-001" "-1.8067970e-002" "-1.1041766e-001" "-9.9502039e-001" "-9.9533986e-001" "-9.9241301e-001"
"Subject 1" "LAYING" "2.7812334e-001" "-1.7146303e-002" "-1.0801374e-001" "-9.9492812e-001" "-9.9835905e-001" "-9.9201143e-001"
"Subject 1" "LAYING" "2.7655526e-001" "-1.7868550e-002" "-1.0762126e-001" "-9.9419460e-001" "-9.9637166e-001" "-9.9561514e-001"
"Subject 1" "LAYING" "2.6865095e-001" "" "1.6430154e-002" "-1.0372571e-001" "-9.8569313e-001" "-8.9590544e-001"
"Subject 1" "LAYING" "-6.6238871e-002" "" "7.9229050e-002" "-1.0000000e+000" "-6.8377891e-001" "-5.3851271e-001"
"Subject 1" "LAYING" "2.7588359e-001" "-1.6150309e-002" "-1.0882921e-001" "-9.9551063e-001" "-9.9554804e-001" "-9.9400080e-001"
"Subject 1" "LAYING" "2.8809417e-001" "-2.2759306e-002" "-1.3505802e-001" "-9.8641338e-001" "-9.9274935e-001" "-9.8323553e-001"
"Subject 1" "LAYING" "2.8347732e-001" "-7.5244582e-003" "-1.0928717e-001" "-9.9458009e-001" "-9.8676377e-001" "-9.9609334e-001"
